title,avg_rating,num_ratings,num_tags,genres_str
"Shining, The (1980)",4.08256880733945,109,9,Horror
Good Will Hunting (1997),4.078014184397163,141,3,"Drama, Romance"
Inception (2010),4.066433566433567,143,26,"Action, Crime, Drama, Mystery, Sci-Fi, Thriller, IMAX"
"Graduate, The (1967)",4.063291139240507,79,1,"Comedy, Drama, Romance"
L.A. Confidential (1997),4.061855670103093,97,1,"Crime, Film-Noir, Mystery, Thriller"
WALL·E (2008),4.0576923076923075,104,4,"Adventure, Animation, Children, Romance, Sci-Fi"
American Beauty (1999),4.056372549019608,204,0,"Drama, Romance"
"Lock, Stock & Two Smoking Barrels (1998)",4.052238805970149,67,0,"Comedy, Crime, Thriller"
Guardians of the Galaxy (2014),4.0508474576271185,59,4,"Action, Adventure, Sci-Fi"
Indiana Jones and the Last Crusade (1989),4.046428571428572,140,2,"Action, Adventure"
Citizen Kane (1941),4.043478260869565,69,1,"Drama, Mystery"
"King's Speech, The (2010)",4.043103448275862,58,0,Drama
Trainspotting (1996),4.03921568627451,102,4,"Comedy, Crime, Drama"
Army of Darkness (1993),4.03921568627451,51,0,"Action, Adventure, Comedy, Fantasy, Horror"
Back to the Future (1985),4.038011695906433,171,1,"Adventure, Comedy, Sci-Fi"
Psycho (1960),4.036144578313253,83,9,"Crime, Horror"
Wallace & Gromit: The Wrong Trousers (1993),4.035714285714286,56,1,"Animation, Children, Comedy, Crime"
It's a Wonderful Life (1946),4.0344827586206895,58,1,"Children, Drama, Fantasy, Romance"
Lost in Translation (2003),4.033783783783784,74,2,"Comedy, Drama, Romance"
Braveheart (1995),4.031645569620253,237,10,"Action, Drama, War"
Vertigo (1958),4.025,60,5,"Drama, Mystery, Romance, Thriller"
Shutter Island (2010),4.022388059701493,67,7,"Drama, Mystery, Thriller"
"Lord of the Rings: The Two Towers, The (2002)",4.0212765957446805,188,2,"Adventure, Fantasy"
The Imitation Game (2014),4.02,50,2,"Drama, Thriller, War"
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),4.018796992481203,133,35,"Action, Crime, Drama, Thriller"
This Is Spinal Tap (1984),4.015151515151516,66,4,Comedy
Some Like It Hot (1959),4.01,50,1,"Comedy, Crime"
Shaun of the Dead (2004),4.0064935064935066,77,1,"Comedy, Horror"
"Prestige, The (2006)",4.0055555555555555,90,3,"Drama, Mystery, Sci-Fi, Thriller"
Jaws (1975),4.0054945054945055,91,1,"Action, Horror"
Stand by Me (1986),4.0054945054945055,91,1,"Adventure, Drama"
Up (2009),4.004761904761905,105,13,"Adventure, Animation, Children, Drama"
Hot Fuzz (2007),4.0,61,1,"Action, Comedy, Crime, Mystery"
"Beautiful Mind, A (2001)",4.0,123,1,"Drama, Romance"
Run Lola Run (Lola rennt) (1998),4.0,75,1,"Action, Crime"
"Clockwork Orange, A (1971)",3.995833333333333,120,1,"Crime, Drama, Sci-Fi, Thriller"
"Dark Knight Rises, The (2012)",3.9934210526315788,76,8,"Action, Adventure, Crime, IMAX"
Interstellar (2014),3.993150684931507,73,10,"Sci-Fi, IMAX"
Young Frankenstein (1974),3.9927536231884058,69,1,"Comedy, Fantasy"
"Fugitive, The (1993)",3.9921052631578946,190,1,Thriller
Raising Arizona (1987),3.9913793103448274,58,1,Comedy
Platoon (1986),3.984126984126984,63,1,"Drama, War"
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),3.983050847457627,177,10,"Mystery, Sci-Fi, Thriller"
Donnie Darko (2001),3.981651376146789,109,29,"Drama, Mystery, Sci-Fi, Thriller"
"Sting, The (1973)",3.9765625,64,1,"Comedy, Crime"
Seven (a.k.a. Se7en) (1995),3.9753694581280787,203,3,"Mystery, Thriller"
28 Days Later (2002),3.9741379310344827,58,2,"Action, Horror, Sci-Fi"
"Christmas Story, A (1983)",3.9727272727272727,55,1,"Children, Comedy"
