movie,genre
"5,000 Fingers of Dr. T, The (1953)",Children
Wow! A Talking Fish! (1983),Children
The Cave of the Golden Rose (1991),Children
Jumanji: Welcome to the Jungle (2017),Children
Agent Cody Banks (2003),Children
"Goofy Movie, A (1995)",Children
Dreamer: Inspired by a True Story (2005),Children
"Santa Clause 2, The (2002)",Children
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)",Children
Mouse Hunt (1997),Children
Rock-A-Doodle (1991),Children
Sing (2016),Children
Ice Age: The Great Egg-Scapade (2016),Children
"Land Before Time, The (1988)",Children
"Little Vampire, The (2000)",Children
Dragon Ball: The Curse Of The Blood Rubies (Doragon bôru: Shenron no densetsu) (1986),Children
RV (2006),Children
"Wiz, The (1978)",Children
Pinocchio (2002),Children
Blank Check (1994),Children
Return to Oz (1985),Children
Beauty and the Beast: The Enchanted Christmas (1997),Children
Pokémon: The First Movie (1998),Children
"Adventures of Ichabod and Mr. Toad, The (1949)",Children
Yongary: Monster from the Deep (1967),Children
Bambi (1942),Children
Herbie Goes Bananas (1980),Children
The Love Bug (1997),Children
Babe (1995),Children
Stuart Little (1999),Children
Mary Poppins (1964),Children
Open Season (2006),Children
Shiloh (1997),Children
"NeverEnding Story, The (1984)",Children
Ultimate Avengers (2006),Children
Born to Be Wild (1995),Children
How to Train Your Dragon (2010),Children
Asterix in America (a.k.a Asterix Conquers America) (Astérix et les Indiens) (1994),Children
Gulliver's Travels (1939),Children
"Emperor's New Groove, The (2000)",Children
Cars 2 (2011),Children
Dumbo (1941),Children
Around the World in 80 Days (2004),Children
Happy Feet Two (2011),Children
Air Bud: Golden Receiver (1998),Children
Winnie the Pooh and the Blustery Day (1968),Children
Pollyanna (1960),Children
Muppet Treasure Island (1996),Children
Dragon ball Z 04: Lord Slug (1991),Children
Rio (2011),Children
That Darn Cat! (1965),Children
Quest for Camelot (1998),Children
Ratchet & Clank (2016),Children
Fantasia 2000 (1999),Children
Field of Dreams (1989),Children
Teenage Mutant Ninja Turtles III (1993),Children
D.A.R.Y.L. (1985),Children
Lilo & Stitch (2002),Children
Doctor Who: Planet of the Dead (2009),Children
Care Bears Movie II: A New Generation (1986),Children
"Care Bears Movie, The (1985)",Children
"Shaggy Dog, The (1959)",Children
Diary of a Wimpy Kid: Dog Days (2012),Children
Adventures of Mowgli: The Kidnapping (1968),Children
"Parent Trap, The (1998)",Children
Look Who's Talking Now (1993),Children
3 Ninjas: High Noon On Mega Mountain (1998),Children
Something Wicked This Way Comes (1983),Children
Space Jam (1996),Children
St. Trinian's (2007),Children
Chitty Chitty Bang Bang (1968),Children
Digimon: The Movie (2000),Children
Racing Stripes (2005),Children
101 Dalmatians (One Hundred and One Dalmatians) (1961),Children
Harry and the Hendersons (1987),Children
Anne of Green Gables (1985),Children
"Return of Jafar, The (1994)",Children
"Brave Little Toaster, The (1987)",Children
Meet the Robinsons (2007),Children
Gnomeo & Juliet (2011),Children
Himizu (2011),Children
Transformers: The Movie (1986),Children
"White Balloon, The (Badkonake sefid) (1995)",Children
Mad Hot Ballroom (2005),Children
Junior and Karlson (1968),Children
"Lion King, The (1994)",Children
Bebe's Kids (1992),Children
Hugo (2011),Children
"Music Man, The (1962)",Children
*batteries not included (1987),Children
Casper Meets Wendy (1998),Children
Zeus and Roxanne (1997),Children
"Three Caballeros, The (1945)",Children
Bedtime Stories (2008),Children
101 Dalmatians (1996),Children
"Ewok Adventure, The (a.k.a. Caravan of Courage: An Ewok Adventure) (1984)",Children
Old Yeller (1957),Children
Last Year's Snow Was Falling (1983),Children
High School Musical (2006),Children
"Yearling, The (1946)",Children
Golmaal (2006),Children
Mars Needs Moms (2011),Children
Long Live Ghosts! (1977),Children
Dudley Do-Right (1999),Children
"Rudolph, the Red-Nosed Reindeer (1964)",Children
"Smurfs, The (2011)",Children
Cloak & Dagger (1984),Children
"Baby-Sitters Club, The (1995)",Children
Luxo Jr. (1986),Children
Freaky Friday (2003),Children
"Lord of the Rings, The (1978)",Children
Heavyweights (Heavy Weights) (1995),Children
Maleficent (2014),Children
Scooby-Doo Goes Hollywood (1979),Children
Shrek (2001),Children
"Muppets Take Manhattan, The (1984)",Children
Captain Underpants: The First Epic Movie (2017),Children
Explorers (1985),Children
Alpha and Omega 3: The Great Wolf Games (2014),Children
Winnie the Pooh and Tigger Too (1974),Children
Big Fat Liar (2002),Children
Stitch! The Movie (2003),Children
Pokemon 4 Ever (a.k.a. Pokémon 4: The Movie) (2002),Children
We're Back! A Dinosaur's Story (1993),Children
Mighty Morphin Power Rangers: The Movie (1995),Children
Homeward Bound II: Lost in San Francisco (1996),Children
Percy Jackson: Sea of Monsters (2013),Children
"Twelve Tasks of Asterix, The (Les douze travaux d'Astérix) (1976)",Children
Jack Frost (1998),Children
"New Adventures of Pippi Longstocking, The (1988)",Children
Problem Child (1990),Children
"Muppet Christmas: Letters to Santa, A (2008)",Children
Addams Family Reunion (1998),Children
Babes in Toyland (1961),Children
Hocus Pocus (1993),Children
Ramona and Beezus (2010),Children
Planet 51 (2009),Children
Kazaam (1996),Children
"Book Thief, The (2013)",Children
Cinderella (1997),Children
Monsieur Lazhar (2011),Children
"Incredible Journey, The (1963)",Children
Paddington (2014),Children
"King and I, The (1999)",Children
Ernest Saves Christmas (1988),Children
Kung Fu Panda 2 (2011),Children
Bridge to Terabithia (2007),Children
"Flintstones, The (1994)",Children
Where the Wild Things Are (2009),Children
"Adventures of Elmo in Grouchland, The (1999)",Children
Partly Cloudy (2009),Children
Frosty the Snowman (1969),Children
Strange Magic (2015),Children
Shaun the Sheep Movie (2015),Children
Rollo and the Woods Sprite (Rölli ja metsänhenki) (2001),Children
Chicken Run (2000),Children
Shrek Forever After (a.k.a. Shrek: The Final Chapter) (2010),Children
Our Lips Are Sealed (2000),Children
FairyTale: A True Story (1997),Children
Karlson Returns (1970),Children
Muppets From Space (1999),Children
The Nut Job 2: Nutty by Nature (2017),Children
"Swan Princess, The (1994)",Children
For the Love of Benji (1977),Children
The Good Boy (2016),Children
Millions (2004),Children
I Remember Mama (1948),Children
"Christmas Carol, A (2009)",Children
D2: The Mighty Ducks (1994),Children
Anastasia (1997),Children
Beverly Hills Chihuahua (2008),Children
Wallace & Gromit: A Close Shave (1995),Children
Doctor Dolittle (1967),Children
Benji (1974),Children
"Polar Express, The (2004)",Children
Scooby-Doo! and the Loch Ness Monster (2004),Children
Enchanted (2007),Children
Beauty and the Beast (1991),Children
"Charlie, the Lonesome Cougar (1967)",Children
Pocahontas II: Journey to a New World (1998) ,Children
"Indian in the Cupboard, The (1995)",Children
Small Soldiers (1998),Children
Seventh Son (2014),Children
Scooby-Doo 2: Monsters Unleashed (2004),Children
Max Keeble's Big Move (2001),Children
Teenage Mutant Ninja Turtles (1990),Children
"Last Unicorn, The (1982)",Children
Ice Age 2: The Meltdown (2006),Children
"Witches, The (1990)",Children
Ponyo (Gake no ue no Ponyo) (2008),Children
Catch That Kid (2004),Children
Mickey's The Prince and the Pauper (1990),Children
Jetsons: The Movie (1990),Children
Lassie (1994),Children
Mighty Joe Young (1949),Children
Boniface's Holiday (1965),Children
Watership Down (1978),Children
"Last Mimzy, The (2007)",Children
3 Ninjas Kick Back (1994),Children
D3: The Mighty Ducks (1996),Children
Free Willy 2: The Adventure Home (1995),Children
"Black Stallion Returns, The (1983)",Children
Dinosaur (2000),Children
"Honey, We Shrunk Ourselves (1997)",Children
"Shaggy Dog, The (2006)",Children
City of Ember (2008),Children
"Absent-Minded Professor, The (1961)",Children
Nanny McPhee (2005),Children
"Simple Wish, A (1997)",Children
Young Sherlock Holmes (1985),Children
Kung Fu Panda: Secrets of the Furious Five (2008),Children
Free Willy (1993),Children
Ice Age: Collision Course (2016),Children
Home (2015),Children
"Secret Garden, The (1993)",Children
"Adventures of Mary-Kate and Ashley, The: The Case of the Christmas Caper (1995)",Children
Inspector Gadget (1999),Children
Asterix at the Olympic Games (Astérix aux jeux olympiques) (2008),Children
Stuart Little 2 (2002),Children
Those Happy Days (2006),Children
"SpongeBob SquarePants Movie, The (2004)",Children
Mr. Nanny (1993),Children
Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Children
"Many Adventures of Winnie the Pooh, The (1977)",Children
National Velvet (1944),Children
BURN-E (2008),Children
The Good Dinosaur (2015),Children
Shrek 2 (2004),Children
Bolt (2008),Children
"Rescuers Down Under, The (1990)",Children
Finding Nemo (2003),Children
"Kid in King Arthur's Court, A (1995)",Children
North Pole: Open For Christmas (2015),Children
"Lizzie McGuire Movie, The (2003)",Children
Heidi (1937),Children
Toy Story 2 (1999),Children
"Rescuers, The (1977)",Children
Condorman (1981),Children
"Little Rascals, The (1994)",Children
Jungle2Jungle (a.k.a. Jungle 2 Jungle) (1997),Children
Over the Hedge (2006),Children
A Wrinkle in Time (2018),Children
Pete's Dragon (1977),Children
Herbie Goes to Monte Carlo (1977),Children
Escape to Witch Mountain (1975),Children
"Barefoot Executive, The (1971)",Children
"American Tail: Fievel Goes West, An (1991)",Children
Pan (2015),Children
Shrek the Third (2007),Children
"Ant Bully, The (2006)",Children
Race to Witch Mountain (2009),Children
Cars (2006),Children
"Lion King II: Simba's Pride, The (1998)",Children
Scooby-Doo! and the Samurai Sword (2009),Children
There Once Was a Dog (1982),Children
My Dog Skip (1999),Children
Bogus (1996),Children
"Secret of NIMH, The (1982)",Children
Alice in Wonderland (1933),Children
Penguins of Madagascar (2014),Children
Madagascar 3: Europe's Most Wanted (2012),Children
"Black Stallion, The (1979)",Children
"Aristocats, The (1970)",Children
Flight of the Navigator (1986),Children
Day & Night (2010),Children
The Emoji Movie (2017),Children
Robin Hood (1973),Children
"Iron Giant, The (1999)",Children
Ruby Red (2013),Children
"Borrowers, The (1997)",Children
Batman: Mystery of the Batwoman (2003),Children
Pocahontas (1995),Children
"Batman/Superman Movie, The (1998)",Children
Santa Claus: The Movie (1985),Children
"Honey, I Blew Up the Kid (1992)",Children
Benji the Hunted (1987),Children
Little Giants (1994),Children
Winnie the Pooh (2011),Children
"Little Mermaid, The (1989)",Children
Asterix and Cleopatra (Astérix et Cléopâtre) (1968),Children
Daddy Day Care (2003),Children
Brother Bear (2003),Children
Ernest Rides Again (1993),Children
Minions (2015),Children
"Bug's Life, A (1998)",Children
Richie Rich (1994),Children
Kung Fu Panda (2008),Children
"Cat in the Hat, The (2003)",Children
Son of Flubber (1963),Children
Alice in Wonderland (1951),Children
"Muppet Christmas Carol, The (1992)",Children
Kit Kittredge: An American Girl (2008),Children
Turbo: A Power Rangers Movie (1997),Children
Halloweentown (1998),Children
"Lion King 1½, The (2004)",Children
Rugrats in Paris: The Movie (2000),Children
Ernest & Célestine (Ernest et Célestine) (2012),Children
Despicable Me 3 (2017),Children
"Spy Next Door, The (2010)",Children
Bedknobs and Broomsticks (1971),Children
"Snowman, The (1982)",Children
Recess: School's Out (2001),Children
Toy Story (1995),Children
Fantasia (1940),Children
Doug's 1st Movie (1999),Children
Cats Don't Dance (1997),Children
Super Mario Bros. (1993),Children
Phineas and Ferb the Movie: Across the 2nd Dimension (2011),Children
"Little Princess, The (1939)",Children
"Muppet Movie, The (1979)",Children
Garfield: A Tail of Two Kitties (2006),Children
Newsies (1992),Children
Kirikou and the Sorceress (Kirikou et la sorcière) (1998),Children
Up (2009),Children
102 Dalmatians (2000),Children
Peter Pan (1960),Children
Sinbad: Legend of the Seven Seas (2003),Children
Tomorrowland (2015),Children
For the Birds (2000),Children
Charlie and the Chocolate Factory (2005),Children
Wild America (1997),Children
"Great Mouse Detective, The (1986)",Children
Rio 2 (2014),Children
Hoodwinked! (2005),Children
"Secret World of Arrietty, The (Kari-gurashi no Arietti) (2010)",Children
Jimmy Neutron: Boy Genius (2001),Children
Pokémon Heroes (2003),Children
Now and Then (1995),Children
A Flintstones Christmas Carol (1994),Children
Hey Arnold! The Movie (2002),Children
Treasure Planet (2002),Children
"Charlie Brown Christmas, A (1965)",Children
It's a Wonderful Life (1946),Children
"Chronicles of Narnia: Prince Caspian, The (2008)",Children
Black Beauty (1994),Children
3 Ninjas (1992),Children
MirrorMask (2005),Children
Sky High (2005),Children
To Grandmother's House We Go (1992),Children
Prancer (1989),Children
"Adventures of Pinocchio, The (1996)",Children
"Haunted Mansion, The (2003)",Children
Herbie Rides Again (1974),Children
Speed Racer (2008),Children
Blackbeard's Ghost (1968),Children
Cloudy with a Chance of Meatballs (2009),Children
Inside Out (2015),Children
"Pirates! Band of Misfits, The (2012)",Children
"Spiderwick Chronicles, The (2008)",Children
G-Force (2009),Children
Charlotte's Web (2006),Children
Tall Tale (1995),Children
Hare-um Scare-um (1939),Children
Secondhand Lions (2003),Children
"Tigger Movie, The (2000)",Children
Storks (2016),Children
Megamind (2010),Children
Presto (2008),Children
Pokémon the Movie 2000 (2000),Children
Teenage Mutant Ninja Turtles II: The Secret of the Ooze (1991),Children
Horton Hears a Who! (2008),Children
Sapphire Blue (2014),Children
"Great Muppet Caper, The (1981)",Children
The Fox and the Hound 2 (2006),Children
Atlantis: The Lost Empire (2001),Children
Scooby-Doo! Abracadabra-Doo (2010),Children
"Addams Family, The (1991)",Children
Puss in Boots (Nagagutsu o haita neko) (1969),Children
House Arrest (1996),Children
Winnie Pooh (1969),Children
Jingle All the Way (1996),Children
Happy Feet (2006),Children
Monster House (2006),Children
Santa's Little Helper (2015),Children
Saving Santa (2013),Children
Spy Kids 3-D: Game Over (2003),Children
"Rugrats Movie, The (1998)",Children
Babe: Pig in the City (1998),Children
Toy Story 3 (2010),Children
Ewoks: The Battle for Endor (1985),Children
Monkey Trouble (1994),Children
How the Grinch Stole Christmas (a.k.a. The Grinch) (2000),Children
Fluke (1995),Children
"Railway Children, The (1970)",Children
Feast (2014),Children
The Boss Baby (2017),Children
"Cat Returns, The (Neko no ongaeshi) (2002)",Children
Stuart Little 3: Call of the Wild (2005),Children
"Love Bug, The (1969)",Children
Babes in Toyland (1934),Children
Barney's Great Adventure (1998),Children
"Claymation Christmas Celebration, A (1987)",Children
Paddington 2 (2017),Children
Pokémon 3: The Movie (2001),Children
"Mighty Ducks, The (1992)",Children
Lemony Snicket's A Series of Unfortunate Events (2004),Children
"Yours, Mine and Ours (1968)",Children
Tooth Fairy 2 (2012),Children
On the Trail of the Bremen Town Musicians (1973),Children
Brave (2012),Children
"Wild, The (2006)",Children
"Peanuts Movie, The (2015)",Children
"Pagemaster, The (1994)",Children
Hercules (1997),Children
Sidekicks (1992),Children
"Christmas Story, A (1983)",Children
"NeverEnding Story III, The (1994)",Children
The Star Wars Holiday Special (1978),Children
Pinocchio (1940),Children
Into the Woods (2014),Children
Diary of a Wimpy Kid (2010),Children
"Adventures of Rocky and Bullwinkle, The (2000)",Children
Porky's Hare Hunt (1938),Children
Treasure Island (1950),Children
Surf's Up (2007),Children
Winnie the Pooh and the Honey Tree (1966),Children
Rise of the Guardians (2012),Children
"Fox and the Hound, The (1981)",Children
Far From Home: The Adventures of Yellow Dog (1995),Children
Kiki's Delivery Service (Majo no takkyûbin) (1989),Children
"Goonies, The (1985)",Children
Go Figure (2005),Children
Antz (1998),Children
Incredibles 2 (2018),Children
Camp Nowhere (1994),Children
Chicken Little (2005),Children
"Nightmare Before Christmas, The (1993)",Children
The Tale of the Bunny Picnic (1986),Children
"Monsters, Inc. (2001)",Children
1776 (1972),Children
"Sword in the Stone, The (1963)",Children
Tom and Huck (1995),Children
"Shaggy D.A., The (1976)",Children
The Even Stevens Movie (2003),Children
The BFG (2016),Children
Tangled Ever After (2012),Children
Alaska (1996),Children
Snow White and the Seven Dwarfs (1937),Children
Life-Size (2000),Children
"Adventures of Milo and Otis, The (Koneko monogatari) (1986)",Children
Little Nemo: Adventures in Slumberland (1992),Children
Hop (2011),Children
Holes (2003),Children
Elsa & Fred (2014),Children
That Darn Cat (1997),Children
Song of the Sea (2014),Children
Dunston Checks In (1996),Children
"Little Princess, A (1995)",Children
It Takes Two (1995),Children
"Honey, I Shrunk the Kids (1989)",Children
Hotel Transylvania (2012),Children
"Apple Dumpling Gang, The (1975)",Children
Piglet's Big Movie (2003),Children
Jumanji (1995),Children
101 Dalmatians II: Patch's London Adventure (2003),Children
Turbo (2013),Children
Zathura (2005),Children
"Chronicles of Narnia: The Voyage of the Dawn Treader, The (2010)",Children
Agent Cody Banks 2: Destination London (2004),Children
E.T. the Extra-Terrestrial (1982),Children
"Phantom Tollbooth, The (1970)",Children
Material Girls (2006),Children
"Princess Diaries, The (2001)",Children
Duck Amuck (1953),Children
Andre (1994),Children
WALL·E (2008),Children
Journey to the Center of the Earth (1959),Children
"Sorcerer's Apprentice, The (2010)",Children
Beethoven (1992),Children
Sisters (2015),Children
Dragon Ball: The Path to Power (Doragon bôru: Saikyô e no michi) (1996),Children
Cheaper by the Dozen (2003),Children
Son of Rambow (2007),Children
Homeward Bound: The Incredible Journey (1993),Children
Born Free (1966),Children
Kubo and the Two Strings (2016),Children
Spy Kids (2001),Children
Return to Never Land (2002),Children
Halloweentown High (2004),Children
Ferdinand (2017),Children
Harriet the Spy (1996),Children
Madagascar (2005),Children
Dragon Ball: Mystical Adventure (Doragon bôru: Makafushigi dai bôken) (1988),Children
Gordy (1995),Children
Who Framed Roger Rabbit? (1988),Children
"It's the Great Pumpkin, Charlie Brown (1966)",Children
"Big Green, The (1995)",Children
Please Don't Eat the Daisies (1960),Children
Night at the Museum: Secret of the Tomb (2014),Children
Freaky Friday (1977),Children
Spy Kids 2: The Island of Lost Dreams (2002),Children
Shark Tale (2004),Children
Aladdin (1992),Children
Lady and the Tramp (1955),Children
Like Mike (2002),Children
Fly Away Home (1996),Children
"Secret of Roan Inish, The (1994)",Children
Wizards of Waverly Place: The Movie (2009),Children
Pixel Perfect (2004),Children
Willy Wonka & the Chocolate Factory (1971),Children
Solo: A Star Wars Story (2018),Children
Coco (2017),Children
"Computer Wore Tennis Shoes, The (1969)",Children
Zootopia (2016),Children
Darby O'Gill and the Little People (1959),Children
Cats & Dogs (2001),Children
"Journey of Natty Gann, The (1985)",Children
"Black Cauldron, The (1985)",Children
"Grand Day Out with Wallace and Gromit, A (1989)",Children
First Kid (1996),Children
Ice Princess (2005),Children
Annie (1982),Children
Mulan II (2004),Children
Asterix & Obelix vs. Caesar (Astérix et Obélix contre César) (1999),Children
"Christmas Carol, A (1938)",Children
Charlotte's Web (1973),Children
"Tale of Despereaux, The (2008)",Children
Another Cinderella Story (2008),Children
Two Brothers (Deux frères) (2004),Children
Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987),Children
Snow Dogs (2002),Children
Vacancy (2007),Thriller
U-571 (2000),Thriller
For Your Eyes Only (1981),Thriller
"Haunting in Connecticut, The (2009)",Thriller
The Rocky Horror Picture Show: Let's Do the Time Warp Again (2016),Thriller
Dead Calm (1989),Thriller
Kill the Messenger (2014),Thriller
Z (1969),Thriller
"Prestige, The (2006)",Thriller
Jennifer's Body (2009),Thriller
Shrooms (2007),Thriller
La Cérémonie (1995),Thriller
"Devil's Backbone, The (Espinazo del diablo, El) (2001)",Thriller
"What's Up, Tiger Lily? (1966)",Thriller
Doomsday (2008),Thriller
Get the Gringo (2012),Thriller
Zulu (2013),Thriller
"Devil's Own, The (1997)",Thriller
Anacondas: The Hunt for the Blood Orchid (2004),Thriller
Babel (2006),Thriller
The Green Inferno (2014),Thriller
Fright Night (1985),Thriller
The Adderall Diaries (2015),Thriller
Sunshine (2007),Thriller
Puppet Master III: Toulon's Revenge (1991),Thriller
"Tenant, The (Locataire, Le) (1976)",Thriller
Resident Evil: Extinction (2007),Thriller
Wicked Blood (2014),Thriller
Jurassic Park (1993),Thriller
Dark Blue (2003),Thriller
Saw VII 3D - The Final Chapter (2010),Thriller
Angels & Demons (2009),Thriller
"Samouraï, Le (Godson, The) (1967)",Thriller
Deliverance (1972),Thriller
"Day of the Jackal, The (1973)",Thriller
Extreme Measures (1996),Thriller
"Best Offer, The (Migliore offerta, La) (2013)",Thriller
Dead Men Don't Wear Plaid (1982),Thriller
Buddy Boy (1999),Thriller
Return to Sender (2015),Thriller
Boogeyman (2005),Thriller
Carnival of Souls (1962),Thriller
Unforgettable (1996),Thriller
Basic Instinct 2 (2006),Thriller
"Vanishing, The (1993)",Thriller
"Silent Night, Deadly Night (1984)",Thriller
Stuck (2007),Thriller
"Fast & Furious 6 (Fast and the Furious 6, The) (2013)",Thriller
The Girl with All the Gifts (2016),Thriller
I Spit on Your Grave (Day of the Woman) (1978),Thriller
"Client, The (1994)",Thriller
"I, the Jury (1982)",Thriller
Some Folks Call It a Sling Blade (1993),Thriller
Changing Lanes (2002),Thriller
Upstream Color (2013),Thriller
Ringu 0: Bâsudei (2000),Thriller
Twisted (2004),Thriller
Marathon Man (1976),Thriller
Time After Time (1979),Thriller
Premium Rush (2012),Thriller
Colombiana (2011),Thriller
Undercurrent (1946),Thriller
Final Destination 3 (2006),Thriller
Julia (2014),Thriller
Insurgent (2015),Thriller
K-19: The Widowmaker (2002),Thriller
"Punisher, The (2004)",Thriller
Angel Eyes (2001),Thriller
Exorcist: The Beginning (2004),Thriller
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Thriller
Inland Empire (2006),Thriller
Misery (1990),Thriller
Bully (2001),Thriller
"Mothman Prophecies, The (2002)",Thriller
"Terminator, The (1984)",Thriller
Legion (2010),Thriller
Kindergarten Cop (1990),Thriller
"Girl Who Played with Fire, The (Flickan som lekte med elden) (2009)",Thriller
"Descent, The (2005)",Thriller
"Perfect Crime, The (Crimen Ferpecto) (Ferpect Crime) (2004)",Thriller
Strangeland (1998),Thriller
Hannibal (2001),Thriller
Ghosts of Mars (2001),Thriller
Kiss the Girls (1997),Thriller
"Pelican Brief, The (1993)",Thriller
Hazard (2005),Thriller
"Business of Strangers, The (2001)",Thriller
"Haunting, The (1963)",Thriller
Osmosis Jones (2001),Thriller
Ransom (1996),Thriller
Ravenous (1999),Thriller
Point of No Return (1993),Thriller
Requiem (2006),Thriller
City of God (Cidade de Deus) (2002),Thriller
D.O.A. (1988),Thriller
"Missing, The (2003)",Thriller
Battleship (2012),Thriller
"Bourne Legacy, The (2012)",Thriller
Tenebre (1982),Thriller
Marnie (1964),Thriller
Ballistic: Ecks vs. Sever (2002),Thriller
Chaos (2005),Thriller
Sin Nombre (2009),Thriller
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Thriller
The 5th Wave (2016),Thriller
"Boondock Saints II: All Saints Day, The (2009)",Thriller
Firestarter (1984),Thriller
"Liability, The (2012)",Thriller
Spiral (2007),Thriller
"Brave One, The (2007)",Thriller
